StateAbbr,PlaceName,PlaceFIPS,Binge rate,Cancer rate,Diabetes rate,Mental health rate,Obesity rate,Sleep rate
IA,Cedar Rapids,1912000,21,6.9,8.5,11.8,33.9,28.4
IA,Davenport,1919000,20.5,6.5,10,12.8,37.8,30.6
IA,Des Moines,1921000,19.5,5.7,9.7,13.3,38.8,32.7
IA,Iowa City,1938595,23.6,4.4,5.9,11.2,29.4,27.5
IA,Sioux City,1973335,19.1,6.6,9.7,13.4,35.1,29.3
IA,Waterloo,1982425,21.7,6.9,10.6,13.2,36,30.4
KS,Kansas City,2036000,17.3,5.7,13.5,14.9,39.8,36.9
KS,Lawrence,2038900,23.3,4.5,6.4,11.9,26.9,29.6
KS,Olathe,2052575,21.1,5.4,7.2,9.9,28.5,26.7
KS,Overland Park,2053775,19.4,6.7,7.8,8.9,26.6,25.6
KS,Topeka,2071000,16.4,6.9,11.5,13.2,37.5,33.1
KS,Wichita,2079000,15.5,6.3,11.5,13.8,33.9,35.6
KY,Lexington,2146027,19.5,5.7,9.7,14.3,30.3,39.2
KY,Louisville,2148006,18.3,6.6,12,14.9,34.5,38
LA,Baton Rouge,2205000,19.4,5.5,12.2,16.6,35.7,38.6
LA,Kenner,2239475,19,6.3,12.6,15,36,38.6
LA,Lafayette,2240735,19.3,6,11,15.8,32.6,37.7
LA,Lake Charles,2241155,16.8,6.5,13.9,16.6,37,42.1
LA,New Orleans,2255000,20.9,5.5,13.3,15.5,35.4,40.8
LA,Shreveport,2270000,16.5,6.3,14.7,17.5,40.3,38.6
ME,Portland,2360545,20,6.5,7.4,12.9,23.6,31.6
MD,Baltimore,2404000,17.3,5.6,12.6,15.7,38.7,43.2
MA,Boston,2507000,22.6,4.8,8.8,13.7,24.6,36
MA,Brockton,2509000,17.5,6.4,11.5,15.9,34.1,44.4
MA,Cambridge,2511000,23.4,4.6,5.2,10.2,20.9,31.8
MA,Fall River,2523000,17.9,7.1,11.1,17.8,32.6,40.3
MA,Lawrence,2534550,16.5,4.8,12.9,15.7,33.7,40.2
MA,Lowell,2537000,18.8,5.4,9.5,14.9,26.9,36.6
MA,Lynn,2537490,17.5,6.1,10.8,14.5,30,39.7
MA,New Bedford,2545000,17.5,7,11.6,17.7,33.4,40.8
MA,Newton,2545560,20.4,7.4,6.7,9.5,20.5,29.8
MA,Quincy,2555745,17.8,6.5,9.4,12.1,22.6,34.4
MA,Somerville,2562535,24.5,4.7,5.4,11.3,22.5,32.1
MA,Springfield,2567000,17.4,5.7,12.4,17.4,35,39.2
MA,Worcester,2582000,19.4,5.8,9.7,15.4,30.1,38.6
MI,Ann Arbor,2603000,20,4.7,5.5,11.4,26.1,31.1
MI,Dearborn,2621000,18.8,6.9,10.5,17.4,31.6,39.7
MI,Detroit,2622000,13.4,5.7,18.3,18.7,44.5,50.1
MI,Farmington Hills,2627440,17.5,7.8,9.3,11,25.5,33.8
MI,Flint,2629000,14.4,5.9,17.2,19.6,47.8,48.8
MI,Grand Rapids,2634000,19.5,5.8,9.7,14.9,33.2,36.5
MI,Kalamazoo,2642160,20.9,5,9,16.5,32.5,39.4
MI,Lansing,2646000,19.3,5.6,11.2,16.3,35.1,39.7
MI,Livonia,2649000,19.7,8.3,9.1,12.5,26.5,36.4
MI,Rochester Hills,2669035,19,7.5,8.2,10.7,23.8,32.1
MI,Southfield,2674900,14.6,7.3,13.7,12.8,34.2,40.4
MI,Sterling Heights,2676460,20,7.6,10.4,14.7,31.9,37.6
MI,Troy,2680700,18.1,7.3,8.6,10.1,22.7,32.5
